,,,,"Règle de Bender",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qui,"URL  source",Année,Titre,Non-applicable,Appliquée,Non-appliquée,,Commentaires,"Langue traitée",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Déductible,Non-déductible,,en,de,fr,ja,zh,pt,ar,ko,uk,es,pl,ru,cs,fi,th,syr,sv,nl,wbp,it,hr,hch,tr,ro,hi,ur,ha,he,vi
A0,https://aclanthology.org/P81-1011.pdf,1981,"Evaluation of Natural Language Interfaces to Data Base Systems",,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P82-1001.pdf,1982,"Translating English Into Logical Form",,x,,,"dès titre",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P82-1002.pdf,1982,"Linguistic and Computational Semantics",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P82-1003.pdf,1982,"The Representation of Inconsistent Information in a Dynamic Model-Theoretic Semantics",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P82-1004.pdf,1982,"What's in a Semantic Network? ",x,,,,"mentionne un autre travail sur l'anglais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P82-1005.pdf,1982,"Dependencies of Discourse Structure on the Modality of Communication : Telephone vs. Teletype",,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P82-1006.pdf,1982,"Towards a Theory of Comprehension of Declarative Contexts",,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P82-1007.pdf,1982,"Natural-Language Access to Databases --Theoretical/Technical Issues",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P82-1008.pdf,1982,"Transportable Natural-Language Interfaces: Problems and Techniques",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P82-1009.pdf,1982,"Theoretical/Technical Issues in Natural Language Access to Databases",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P82-1010.pdf,1982,"English Words and Data Bases: How To Bridge the Gap",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P83-1001.pdf,1983,"Context-Freeness and the Computer Processing of Human Languages",,x,,,"mentionne aussi jap mais juste pour dire que le système devra être adapté à cette langue",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
