Qui,URL,Année,Titre,Non-applicable,Appliquée,Déductible,Non-déductible,Commentaires,en,de,fr,ja,zh,pt,ar,ko,uk,es,pl,ru,cs,fi,th,syr,sv,nl,wbp,it,hr,hch,tr,ro,hi,ur,ha,he,vi,el,da,ms,ca,is,eu,sr,gl,cy,ast,et,bg,sl,hu,ta,fa,sa,id,cr,ctn,iu,mux,yuw,byx,st,roh,yua,la,kij,no,sk,af,sux,mk,te,mwf,zgh,ps,ks,bn,gu,ml,ga,lv
FD,http://www.lrec-conf.org/proceedings/lrec2000/pdf/28.pdf,2000,"Towards A Universal Tool For NLP Resource Acquisition ",,x,,,"fait pour être universel anglais+autre langue mais russe utilisé comme exemple plusieurs fois",x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2000/pdf/29.pdf,2000,"The Multi-layer Language Knowledge Base of Chinese NLP ",,x,,,titre,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2000/pdf/31.pdf,2000,"With WORLDTREK family, create, update and browse your terminological world",,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2000/pdf/33.pdf,2000,"Dialogue Annotation for Language Systems Evaluation",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2000/pdf/34.pdf,2000,"Evaluation of TRANSTYPE, a Computer-aided Translation Typing System: A comparison of a theoretical- and a user- oriented evaluation procedures",,,,x,"sur traductions en-fr mais cite que fr",x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2000/pdf/35.pdf,2000,"Extraction of Semantic Clusters  for Terminological Information Retrieval from MRDs",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2000/pdf/36.pdf,2000,"Obtaining predictive results with an objective evaluation of spoken dialogue systems : experiments with the DCR assessment paradigm",,,,x,"/!/ parle d'une agence francophone pour futur mais pour l'instant données en anglais",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2000/pdf/37.pdf,2000,"MHATLex : Lexical Resourcesfor Modelling the French Pronunciation",,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2000/pdf/38.pdf,2000,"Dialogue and Prompting Strategies Evaluation in the DEMON System",,x,,,,,,x,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2000/pdf/39.pdf,2000,"SLR VALIDATION: PRESENT STATE OF AFFAIRS AND PROSPECTS",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
