Qui,URL,Année,Titre,Non-applicable,Appliquée,Déductible,Non-déductible,Commentaires,en,de,fr,ja,zh,pt,ar,ko,uk,es,pl,ru,cs,fi,th,syr,sv,nl,wbp,it,hr,hch,tr,ro,hi,ur,ha,he,vi,el,da,ms,ca,is,eu,sr,gl,cy,ast,et,bg,sl,hu,ta,fa,sa,id,cr,ctn,iu,mux,yuw,byx,st,roh,yua,la,kij,no,sk,af,sux,mk,te,mwf,zgh,ps,ks,bn,gu,ml,ga,lv
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/34.pdf,2002,"PILLS: Multilingual generation of medical information documents with overlapping content",,x,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/35.pdf,2002,"Co-reference annotation and resources: A multilingual corpus of typologically  diverse languages",,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/36.pdf,2002,"Towards Very Large Ontologies for Medical Language Processing",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/37.pdf,2002,"Improving an Ontology Refinement Method with Hyponymy Patterns",,,x,,"wordnet (english/german présents mais dans exemples)",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/38.pdf,2002,"Proposal for Evaluating Ontology Refinement Methods",,,x,,"wordnet, wsj",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/39.pdf,2002,"Methods For Constructing Lexicon-Grammar Resources: The Example Of  Measure Expressions",,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/40.pdf,2002,"Living off the land: The Web as a source of practice texts for learners of less prevalent languages",,x,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/41.pdf,2002,"Diagnostic Assessment of Telephone Transmission Impact on ASR Performance and Human-to-Human Speech Quality",,x,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/42.pdf,2002,"A Labelling Proposal to Annotate Dialogues",,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/43.pdf,2002,"Collection and linguistic processing of a large-scale corpus of medical articles",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/44.pdf,2002,"Constructing a lexicon of action",,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/45.pdf,2002,"Building Concept Frames based on Text Corpora",,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/46.pdf,2002,"BIZKAIFON: A sound archive of dialectal varieties of spoken Basque.",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/48.pdf,2002,"From DTD to relational dB. An automatic generation of a lexicographical station  out off ISLE guidelines ",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/49.pdf,2002,"The SmartKom Multimodal Corpus at BAS",,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/50.pdf,2002,"End-to-End Evaluation of Multimodal Dialogue Systems - can we Transfer Established Methods?",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/51.pdf,2002,"Word Sense Disambiguation using Statistical Models and WordNet",,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/52.pdf,2002,"Bilingual FrameNet Dictionaries for Machine Translation ",,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/53.pdf,2002,"Experiments in Topic Detection",,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/1.pdf,2004,"Information Extraction from Hindi Texts  ",,x,,,"dès titre",,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/2.pdf,2004,"The language belongs to the People!",,x,,,"ou non-applicable car exemple imaginaire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/3.pdf,2004,"ALLES: Integrating NLP in ICALL Applications ",,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/5.pdf,2004,"The Automatic Content Extraction (ACE) Program  Tasks, Data, and Evaluation ",,x,,,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/8.pdf,2004,"Multilingual Corpus-based Approach to the Resolution of English –ing ",,x,,,"dès titre",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/9.pdf,2004,"On the problems of creating a golden standard of inflected forms in Portuguese ",,x,,,"dès titre",,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/12.pdf,2004,"INSPIRE: Evaluation of a Smart-Home System for Infotainment Management and Device Control",,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/14.pdf,2004,"Evaluating Multimodal NLG using Production Experiments",,x,,,"ou non-applicable car l'expérience n'avait pas trop l'air tournée sur la parole (mais précise que sujets néerlandais natifs)",,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/15.pdf,2004,"Concept Creation in Lexical Ontologies",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/16.pdf,2004,"Polysemy and Category Structure in WordNet: An Evidential Approach",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/17.pdf,2004,"Towards a Reference Annotation Framework ",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/18.pdf,2004,"A New ITU-T Recommendation on the Evaluation of Telephone-Based Spoken Dialogue Systems",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/19.pdf,2004,"Raising the Bar: Stacked Conservative Error Correction Beyond Boosting",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/21.pdf,2004,"An Analysis of the Relative Difficulty of Reuters-21578 Subsets",,,x,,"reuters-21578 (dans lremap)",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/23.pdf,2004,"Experiences in Collection of Handwriting Data for Online Handwriting Recognition in Indic Scripts",,x,,,"indic ? (hindi ?)",,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/24.pdf,2004,"Collocation Extraction Using Web Statistics ",,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/26.pdf,2004,"An XML Representation for Annotated Handwriting Datasets for Online Handwriting Recognition",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/27.pdf,2004,"Reusing Language Resources for Speech Applications involving Emotion ",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/28.pdf,2004,"Designing and Recording an Audiovisual Database of Emotional Speech in  Basque",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/29.pdf,2004,"Evaluation of Different Similarity Measures for the Extraction of Multiword Units in a Reinforcement Learning Environment",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/30.pdf,2004,"Terminal Device Oriented Comparable Corpora and its Alignment  -- Towards Extracting Paraphrasing Patterns -- ",,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/32.pdf,2004,"Towards basic categories for describing properties of texts in a corpus ",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/34.pdf,2004,"Using Weighted Abduction to Align Term Variant Translations in Bilingual Texts",,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/35.pdf,2004,"Investigation on Semantics  to Improve the COVAX System ",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/36.pdf,2004,"Incremental Knowledge Acquisition from WordNet and EuroWordNet ",,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/38.pdf,2004,"Finding Semantic Associations on Express Lane",,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/39.pdf,2004,"Infrastructure for Collaborative Annotation of Speech",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/40.pdf,2004,"Automatic Language-Independent Induction of Gazetteer Lists",,x,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/41.pdf,2004,"Corpus Design, Recording and Phonetic Analysis of Greek Emotional Database ",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/42.pdf,2004,"Human dialogue modelling using annotated corpora",,,x,,"switchboard, verbmobil, ... ",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/43.pdf,2004,"CrossTowns: Automatically Generated Phonetic Lexicons   of Cross-Lingual Pronunciation Variants of European City Names",,x,,,,x,x,x,,,,,,,x,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/46.pdf,2004,"Pattern Discovery in Named Organization Corpus ",,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/48.pdf,2004,"Connector Usage in the English Essay Writing of Japanese EFL Learners ",,x,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/49.pdf,2004,"Detection of Domain Specific Terminology Using Corpora Comparison ",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/51.pdf,2004,"COMPARATIVE EVALUATION OF A STOCHASTIC PARSER ON SEMANTIC AND SYNTACTIC-SEMANTIC LABELS",,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/53.pdf,2004,"Sinica BOW (Bilingual Ontological Wordnet):  Integration of Bilingual WordNet and SUMO ",,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/54.pdf,2004,"How to Disassemble Alphabetical Processions -  Morphological Treatment of Unknown Words",,x,,,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/57.pdf,2004,"Creating Slovenian Language Resources for Development of Speech-to-Speech Translation Components",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/58.pdf,2004,"Automatic Bilingual Lexicon Acquisition Using Random Indexing of Aligned Bilingual Data",,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/59.pdf,2004,"Development and Integration of the LDA-Toolkit into the COST249 SpeechDat  (II) SIG Reference Recognizer",,x,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/60.pdf,2004,"Duration Modeling For Turkish Text-to-Speech Synthesis System ",,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/62.pdf,2004,"Clustering Concept Hierarchies from Text",,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/64.pdf,2004,"NIST Language Technology Evaluation Cookbook ",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/65.pdf,2004,"Definition, dictionaries and tagger for Extended Named Entity Hierarchy ",,x,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/66.pdf,2004,"Sejong Korean Corpora in the Making",,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/68.pdf,2004,"Creation and Assessment of Korean Speech and Noise DB in Car Environment ",,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/69.pdf,2004,"Automatic Generation of Glosses in the OntoLearn System",,,x,,"wordnet ?",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/70.pdf,2004,"The COST278 pan-European Broadcast News Database",,x,,,,,,,,,x,,,,,,,x,,,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/71.pdf,2004,"A Spoken Afrikaans Language Resource Designed for Research on Pronunciation Variations",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2004/pdf/72.pdf,2004,"The BITS Speech Synthesis Corpus for German",,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2006/pdf/4_pdf.pdf,2006,"DanPASS – A Danish Phonetically Annotated Spontaneous Speech Corpus ",,x,,,"dès titre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2006/pdf/6_pdf.pdf,2006,"A Hebrew Tree Bank   Based on Cantillation Marks ",,x,,,titre,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2006/pdf/8_pdf.pdf,2006,"Techno-langue: The French National Initiative  for Human Language Technologies (HLT)",,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2006/pdf/9_pdf.pdf,2006,"REGULUS: A Generic Multilingual Open Source Platform for Grammar-Based Speech Applications",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2006/pdf/10_pdf.pdf,2006,"Extraction of Temporal Information from Texts in Swedish",,x,,,titre,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2006/pdf/11_pdf.pdf,2006,"New Approach to Frequency Dictionaries — Czech Example",,x,,,titre,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2006/pdf/12_pdf.pdf,2006,"A Spell Checker for a World Language: The New Microsoft’s Spanish Spell  Checker ",,x,,,titre,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2006/pdf/14_pdf.pdf,2006,"TransType2: The Last Word ",,x,,,,x,x,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2006/pdf/19_pdf.pdf,2006,"Designing and Recording an Emotional Speech Database for Corpus Based Synthesis in Basque",,x,,,titre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2006/pdf/23_pdf.pdf,2006,"Collection, Encoding and Linguistic Processing of a Swedish Medical Corpus –  The MEDLEX Experience",,x,,,titre,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2006/pdf/29_pdf.pdf,2006,"A new approach to syntactic annotation",,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2006/pdf/33_pdf.pdf,2006,"A French Non-Native Corpus for Automatic Speech Recognition ",,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2006/pdf/35_pdf.pdf,2006,"Documenting variation across Europe and the Mediterranean:  The Pavia Typological Database ",,x,,,"(bcp de langues... certaines pas cochées)",x,x,x,,,,,,,,x,x,x,x,,,x,,,x,x,,x,x,,,,,,x,x,,x,,x,,,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2006/pdf/36_pdf.pdf,2006,"Building and Incorporating Language Models for Persian Continuous Speech Recognition Systems",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2006/pdf/37_pdf.pdf,2006,"Blind Evaluation for Thai Search Engines",,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2006/pdf/39_pdf.pdf,2006,"An Annotated Corpus Management Tool: ChaKi",,x,,,,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2006/pdf/43_pdf.pdf,2006,"Hierarchical Relationships ""is-a"": Distinguishing Belonging, Inclusion and  Part/of Relationships. ",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2006/pdf/44_pdf.pdf,2006,"Morphological annotation of Korean with Directly Maintainable Resources ",,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2006/pdf/45_pdf.pdf,2006,"PrepNet: a Multilingual Lexical Description of Prepositions",,x,,,"travail vraiment fini pour fr et es mais études commencées pour d'autres langues",,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2006/pdf/48_pdf.pdf,2006,"A Methodology for Developing Multilingual Resources for Terminology ",,x,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
