URL,Année,Titre,"Mon annotation","Annotateur 1","Annotateur 2","Annotateur 3",
http://www.lrec-conf.org/proceedings/lrec2008/pdf/38_paper.pdf,2008,"Ping-pong Document Clustering using NMF and Linkage-Based Refinement",NonApplicable,,,A/ND,
http://www.lrec-conf.org/proceedings/lrec2012/pdf/110_Paper.pdf,2012,"Fast Labeling and Transcription with the Speechalyzer Toolkit",ND,,,NonApplicable,
https://aclanthology.org/L16-1018.pdf,2016,"Towards A Multi-DimensioNonApplicablel Taxonomy Of Stories In Dialogue",D,,,D,
https://aclanthology.org/2020.lrec-1.30.pdf,2020,"Crowdsourcing in the Development of a Multilingual FrameNet: A Case Study of Korean FrameNet",A,,,A,
https://aclanthology.org/P00-1002.pdf,2000,"Generic NLP Technologies: Language, Knowledge and Information Extraction",A,,,A,
https://aclanthology.org/P05-1008.pdf,2005,"Empirically-based Control of NonApplicabletural Language Generation",ND,,,NonApplicable,
https://aclanthology.org/P10-1004.pdf,2010,"Computing weakest readings",D,,,D,
https://aclanthology.org/P15-1006.pdf,2015,"Text to 3D Scene Generation with Rich Lexical Grounding",ND,,,D,
https://aclanthology.org/2020.acl-main.7.pdf,2020,"Guiding VariatioNonApplicablel Response Generator to Exploit PersoNonApplicable",A,,,D,
,,,,,,,
http://www.lrec-conf.org/proceedings/lrec2002/pdf/11.pdf,2002,"Towards a Corpus Annotated for Metonymies: the Case of Location NonApplicablemes",A,A,,,
http://www.lrec-conf.org/proceedings/lrec2004/pdf/21.pdf,2004,"An ANonApplicablelysis of the Relative Difficulty of Reuters-21578 Subsets",D,D,,,
http://www.lrec-conf.org/proceedings/lrec2006/pdf/52_pdf.pdf,2006,"Computer-aided summarisation – what the user really wants",ND,ND,,,
http://www.lrec-conf.org/proceedings/lrec2008/pdf/613_paper.pdf,2008,"The PIT Corpus Of German Multi-Party Dialogues",A,A,,,
http://www.lrec-conf.org/proceedings/lrec2010/pdf/55_Paper.pdf,2010,"ISO-TimeML: An InterNonApplicabletioNonApplicablel Standard for Semantic Annotation",NonApplicable,NonApplicable,,,
http://www.lrec-conf.org/proceedings/lrec2012/pdf/117_Paper.pdf,2012,"Mining Sentiment Words from Microblogs for Predicting  Writer-Reader Emotion Transition",A,A,,,
http://www.lrec-conf.org/proceedings/lrec2014/pdf/1000_Paper.pdf,2014,"On Paraphrase Identification Corpora ",D,D,,,
https://aclanthology.org/L16-1011.pdf,2016,"DiscrimiNonApplicabletive ANonApplicablelysis of Linguistic Features for Typological Study",A,NonApplicable,,,
https://aclanthology.org/L18-1021.pdf,2018,"Data MaNonApplicablegement Plan (DMP) for Language Data under the New General Data  Protection Regulation (GDPR) ",NonApplicable,NonApplicable,,,
https://aclanthology.org/2020.lrec-1.43.pdf,2020,"Using Multilingual Resources to Evaluate CEFRLex for Learner Applications",A,A,,,
,,,,,,,
https://aclanthology.org/P80-1011.pdf,1980,"The  Parameters of  ConversatioNonApplicablel Style",A,,A,,
https://aclanthology.org/P82-1004.pdf,1982,"What's in a Semantic Network? ",A,,A,,
https://aclanthology.org/P84-1011.pdf,1984,"Lexicon Features for Japanese Syntactic ANonApplicablelysis  in Mu-Project-JE",A,,A,,
https://aclanthology.org/P86-1007.pdf,1986,"Defining NonApplicabletural Language Grammar in GPSG",NonApplicable,,NonApplicable,,
https://aclanthology.org/P88-1010.pdf,1988,"An Integrated Framework for Semantic and Pragmatic Interpretation",A,,ND,,
,,,,,,,
https://aclanthology.org/P90-1003.pdf,1990,"Prosody, Syntax and Parising",ND,,,ND,
https://aclanthology.org/P92-1007.pdf,1992,"A FunctioNonApplicablel Approach to Generation with TAG",NonApplicable,,,NonApplicable,
https://aclanthology.org/P94-1009.pdf,1994,"A Hybrid Reasoning Model for Indirect Answers",A,,,A,
https://aclanthology.org/P96-1004.pdf,1996,"Morphological Cues for Lexical Semantics",A,,,NonApplicable/D,"anglais mentionné"
https://aclanthology.org/P98-1008.pdf,1998,"Time Mapping with Hypergraphs",NonApplicable,,,NonApplicable,
